penyebut,pembilang,penyebut m(x),pembilang m(x),tau(x),sigma(x),maks orbit(penyebut),maks orbit(pembilang),banyaknya n,banyaknya kenaikan,mutlak selisih maksimum(penyebut),mutlak selisih maksimum(pembilang),klasifikasi
1728209923,1036926005,1728209923,4172965835,1179,444,27651358768,151041282003,588,1005,27651358768,71543163721,1
1724829973,1034898035,1724829973,4164853955,1179,443,27597279568,150745874373,588,1005,27597279568,71403233791,1
53660269,32196163,1717128608,4146370679,1179,165,858564304,4689774221,588,1005,66043408,170875955,1
53517819,32110693,1712570208,4135430519,1179,118,856285104,4677324091,588,1005,856285104,2215489985,1
213352551,128011537,1706820408,4121630999,1179,274,3413640816,18646479799,588,1005,3413640816,8832204725,1
212588501,127553107,1700708008,4106961239,1179,273,3401416016,18579701829,588,1005,3401416016,8800573055,1
52955789,31773475,1694585248,4092266615,1179,117,847292624,4628202669,588,1005,847292624,2192221943,1
211601711,126961033,1692813688,4088014871,1179,310,3385627376,18493456383,588,1005,3385627376,8759719949,1
211451491,126870901,1691611928,4085130647,1179,282,3383223856,18480327155,588,1005,3383223856,8753500841,1
210972341,126583411,1687778728,4075930967,1179,309,3375557456,18438449445,588,1005,3375557456,8733664031,1
210734061,126440443,1685872488,4071355991,1179,281,3371744976,18417623773,588,1005,3371744976,8723799239,1
210192751,126115657,1681542008,4060962839,1179,354,3363084016,18370313279,588,1005,3363084016,8701389005,1
419972397,251983451,1679889588,4056997031,1179,258,6719558352,36704521181,588,1005,516889104,1337359651,1
209666981,125800195,1677335848,4050868055,1179,353,3354671696,18324360981,588,1005,3354671696,8679622127,1
209654031,125792425,1677232248,4050619415,1179,198,3354464496,18323229151,588,1005,3354464496,8679085997,1
418379547,251027741,1673518188,4041705671,1179,257,6694072752,36565306091,588,1005,6694072752,17319731473,1
208537741,125122651,1668301928,4029186647,1179,197,3336603856,18225665405,588,1005,3336603856,8632871591,1
208006791,124804081,1664054328,4018992407,1179,142,3328108656,18179260375,588,1005,3328108656,8610890261,1
1651294693,990776867,1651294693,3988369283,1179,452,26420715088,144318890901,588,1005,26420715088,68358873199,1
206331061,123798643,1650648488,3986818391,1179,141,3301296976,18032801573,588,1005,3301296976,8541515039,1
1648329143,988997537,1648329143,3981251963,1179,451,26373266288,144059701831,588,1005,26373266288,68236099429,1
25425707,15255425,1627245248,3930650615,1179,96,406811312,2222140147,588,1005,406811312,1052550409,1
100670713,60402431,1610731408,3891017399,1179,154,1610731408,8798353737,588,1005,123902416,320574775,1
50223339,30134005,1607146848,3882414455,1179,370,803573424,4389386539,588,1005,803573424,2079098513,1
25070877,15042527,1604536128,3876148727,1179,95,401134032,2191128005,588,1005,30856464,79835419,1
50111969,30067183,1603583008,3873861239,1179,369,801791504,4379652801,588,1005,801791504,2074487795,1
99963643,59978189,1599418288,3863865911,1179,153,1599418288,8736555819,588,1005,123032176,318323029,1
6143723,3686234,1572793088,3799965431,1179,66,98299568,536944729,588,1005,98299568,254331667,1
12006431,7203859,1536823168,3713637623,1179,86,192102896,1049328747,588,1005,192102896,497029313,1
5985733,3591440,1532347648,3702896375,1179,65,95771728,523136403,588,1005,7367056,19060837,1
95397473,57238487,1526359568,3688524983,1179,130,1526359568,8337472561,588,1005,1526359568,3949159939,1
5957243,3574346,1525054208,3685392119,1179,338,95315888,520646377,588,1005,95315888,246611395,1
47547869,28528723,1521531808,3676938359,1179,337,760765904,4155550461,588,1005,760765904,1968334055,1
94597163,56758301,1513554608,3657793079,1179,129,1513554608,8267525467,588,1005,1513554608,3916027105,1
189136051,113481637,1513088408,3656674199,1179,216,3026176816,16529957699,588,1005,232782832,602280125,1
11807001,7084201,1511296128,3652372727,1179,85,188912016,1031898565,588,1005,188912016,488772911,1
11793841,7076305,1509611648,3648329975,1179,90,188701456,1030748381,588,1005,188701456,488228087,1
753916649,452350015,1507833298,3644061935,1179,424,12062666384,65890182489,588,1005,12062666384,31209785723,1
188335741,113001451,1506685928,3641308247,1179,215,3013371856,16460010605,588,1005,3013371856,7796508791,1
752650139,451590109,1505300278,3637982687,1179,423,12042402224,65779489515,588,1005,12042402224,31157352209,1
186895701,112137427,1495165608,3613659479,1179,326,2990331216,16334151109,588,1005,2990331216,7736891135,1
186457991,111874801,1491663928,3605255447,1179,325,2983327856,16295895255,588,1005,2983327856,7718769941,1
11573691,6944215,1481432448,3580699895,1179,89,185179056,1011507271,588,1005,185179056,479113877,1
184520671,110712409,1476165368,3568058903,1179,436,2952330736,16126573487,588,1005,2952330736,7638564893,1
368682627,221209589,1474730508,3564615239,1179,318,5898922032,32221795283,588,1005,5898922032,15262278985,1
184233181,110539915,1473865448,3562539095,1179,435,2947730896,16101446861,588,1005,2947730896,7626662807,1
367809797,220685891,1471239188,3556236071,1179,317,5884956752,32145509941,588,1005,5884956752,15226143823,1
22900457,13740275,1465629248,3542772215,1179,102,366407312,2001433297,588,1005,366407312,948005059,1
2896820561,1738092439,2896820561,7002893386,1179,832,46349128976,253173586497,588,1005,46349128976,119918917043,1
22623327,13573997,1447892928,3500205047,1179,101,361973232,1977212135,588,1005,361973232,936531877,1
2895181091,1737108757,2895181091,6998958658,1179,832,46322897456,253030296819,588,1005,46322897456,119851042985,1
90323663,54194201,1445178608,3493690679,1179,358,1445178608,7894021567,588,1005,1445178608,3739104205,1
90147543,54088529,1442360688,3486927671,1179,357,1442360688,7878628679,588,1005,1442360688,3731812837,1
1410919383,846551681,1410919383,3411468539,1179,394,981509136,5361308209,588,1005,22574710128,58407335365,1
1408637593,845182607,1408637593,3405992243,1179,393,22538201488,123110660361,588,1005,22538201488,58312869259,1
175699131,105419485,1405593048,3398685335,1179,202,2811186096,15355570891,588,1005,2811186096,7273353137,1
174950621,104970379,1399604968,3384313943,1179,201,2799209936,15290151117,588,1005,2799209936,7242364823,1
692958409,415775071,1385916818,3351462383,1179,788,11087334544,60562432313,588,1005,852871888,2206624199,1
692468899,415481365,1384937798,3349112735,1179,787,11079502384,60519649139,588,1005,11079502384,28665848873,1
21639127,12983477,1384904128,3349031927,1179,286,346226032,1891193055,588,1005,346226032,895785997,1
21584737,12950843,1381423168,3340677623,1179,285,345355792,1886439369,588,1005,345355792,893534251,1
5348593,3209156,1369239808,3311437559,1179,62,85577488,467450367,588,1005,85577488,221413285,1
338418477,203051099,1353673908,3274079399,1179,402,5414695632,29576708573,588,1005,5414695632,14009343175,1
337934147,202760501,1351736588,3269429831,1179,401,235084624,1284103397,588,1005,5406946352,13989291913,1
84211263,50526761,1347380208,3258974519,1179,290,1347380208,7359797807,588,1005,1347380208,3486050845,1
84014423,50408657,1344230768,3251415863,1179,289,58444816,319243217,588,1005,1344230768,3477901669,1
5212618,3127571,1334430208,3227894519,1179,84,10425236,56945769,588,1005,5212618,13486495,1
5200963,3120578,1331446528,3220733687,1179,61,83215408,454547505,588,1005,83215408,215301403,1
166411391,99846841,1331291128,3220360727,1179,224,2662582256,14543822415,588,1005,2662582256,6888840701,1
41518349,24911011,1328587168,3213871223,1179,246,664293584,3628570413,588,1005,664293584,1718711927,1
165849361,99509623,1326794888,3209569751,1179,223,2653589776,14494700993,588,1005,2653589776,6865572659,1
41396619,24837973,1324691808,3204522359,1179,245,28797648,157301357,588,1005,662345904,1713672305,1
1318420123,791052125,1318420123,3189470315,1179,390,21094721968,115225653483,588,1005,21094721968,54577866001,1
